,0,1,2,3
187345,0.303,0.291,0.247,0.190
187547,0.388,0.298,0.282,0.347
187850,0.291,0.348,0.249,0.240
188145,0.451,0.326,0.419,0.423
188347,0.249,0.271,0.259,0.285
188448,0.318,0.294,0.235,0.265
188549,0.324,0.308,0.327,0.289
188751,0.398,0.294,0.334,0.404
189349,0.220,0.249,0.227,0.237
189450,0.287,0.261,0.299,0.257
189652,0.272,0.260,0.304,0.265
191033,0.275,0.270,0.262,0.264
191235,0.254,0.317,0.284,0.244
191336,0.274,0.262,0.272,0.262
191841,0.287,0.294,0.276,0.306
191942,0.307,0.324,0.306,0.344
192035,0.409,0.373,0.374,0.313
192136,0.253,0.301,0.213,0.339
192237,0.307,0.399,0.324,0.294
192641,0.337,0.291,0.354,0.275
192843,0.325,0.379,0.406,0.441
193845,0.325,0.395,0.348,0.275
194443,0.377,0.373,0.291,0.281
194645,0.232,0.312,0.228,0.275
194746,0.286,0.393,0.287,0.286
194847,0.343,0.355,0.259,0.280
195041,0.430,0.359,0.311,0.326
195445,0.325,0.289,0.270,0.359
195849,0.248,0.244,0.306,0.269
195950,0.314,0.402,0.321,0.282
196346,0.332,0.387,0.330,0.304
197348,0.516,0.524,0.391,0.334
198047,0.319,0.308,0.253,0.364
198249,0.378,0.304,0.275,0.349
198350,0.315,0.339,0.335,0.308
198653,0.322,0.241,0.290,0.251
198855,0.288,0.305,0.311,0.251
199352,0.351,0.276,0.291,0.374
199453,0.269,0.282,0.209,0.252
199958,0.303,0.308,0.274,0.268
200008,0.299,0.268,0.293,0.303
200109,0.337,0.410,0.341,0.329
200311,0.308,0.371,0.269,0.300
200513,0.328,0.318,0.269,0.259
200917,0.284,0.280,0.344,0.385
201414,0.270,0.274,0.278,0.246
201515,0.314,0.326,0.234,0.269
201818,0.360,0.370,0.369,0.282
202113,0.289,0.324,0.323,0.230
202719,0.268,0.307,0.290,0.297
203418,0.260,0.352,0.291,0.371
203923,0.294,0.245,0.295,0.299
204016,0.317,0.295,0.285,0.330
204218,0.347,0.304,0.267,0.334
204319,0.311,0.422,0.258,0.305
204420,0.260,0.297,0.238,0.276
204521,0.413,0.369,0.378,0.362
204622,0.262,0.279,0.237,0.273
205220,0.267,0.269,0.287,0.372
206222,0.297,0.320,0.268,0.277
206323,0.350,0.361,0.365,0.343
206525,0.238,0.239,0.237,0.279
206727,0.275,0.283,0.314,0.281
206828,0.272,0.254,0.294,0.304
206929,0.293,0.237,0.365,0.292
207123,0.506,0.325,0.301,0.274
207426,0.285,0.297,0.247,0.341
208024,0.218,0.240,0.231,0.235
208125,0.323,0.284,0.317,0.289
208327,0.303,0.282,0.258,0.289
208630,0.301,0.279,0.275,0.278
209127,0.303,0.273,0.257,0.320
209228,0.250,0.273,0.335,0.292
209329,0.346,0.337,0.289,0.324
209834,0.391,0.346,0.334,0.350
210011,0.258,0.232,0.257,0.244
210112,0.294,0.289,0.387,0.354
210415,0.283,0.274,0.277,0.264
211114,0.407,0.352,0.287,0.344
211215,0.289,0.284,0.325,0.262
211316,0.454,0.372,0.366,0.305
211619,0.249,0.330,0.244,0.292
211720,0.303,0.303,0.263,0.324
211821,0.282,0.239,0.265,0.269
211922,0.268,0.330,0.313,0.337
212015,0.268,0.223,0.228,0.259
212116,0.354,0.227,0.347,0.305
212217,0.292,0.292,0.370,0.298
212419,0.218,0.265,0.310,0.376
212823,0.295,0.235,0.288,0.234
213017,0.331,0.349,0.273,0.284
213421,0.279,0.272,0.219,0.299
213522,0.311,0.279,0.258,0.255
214524,0.303,0.240,0.309,0.306
214625,0.279,0.230,0.264,0.236
214726,0.306,0.296,0.351,0.271
217126,0.209,0.304,0.216,0.263
219231,0.260,0.266,0.222,0.262
220721,0.294,0.276,0.242,0.280
223929,0.546,0.568,0.505,0.392
227432,0.298,0.224,0.263,0.303
227533,0.239,0.299,0.280,0.259
228434,0.310,0.289,0.309,0.375
231928,0.291,0.288,0.307,0.282
233326,0.305,0.271,0.264,0.242
236130,0.340,0.262,0.304,0.262
237334,0.266,0.274,0.260,0.247
238033,0.310,0.304,0.226,0.310
239136,0.253,0.301,0.313,0.282
248339,0.306,0.395,0.321,0.238
250932,0.336,0.329,0.310,0.290
255740,0.263,0.310,0.292,0.243
256540,0.327,0.329,0.216,0.278
257542,0.255,0.287,0.320,0.256
257845,0.294,0.347,0.323,0.276
257946,0.373,0.412,0.328,0.421
263436,0.310,0.302,0.303,0.259
268749,0.247,0.274,0.270,0.268
268850,0.241,0.271,0.258,0.312
270332,0.322,0.286,0.272,0.226
274542,0.275,0.254,0.283,0.278
275645,0.327,0.332,0.326,0.322
280739,0.329,0.311,0.319,0.465
280941,0.266,0.276,0.269,0.288
281135,0.301,0.290,0.253,0.270
283543,0.276,0.291,0.280,0.284
285345,0.270,0.283,0.259,0.321
285446,0.304,0.338,0.375,0.246
286347,0.312,0.251,0.328,0.322
286650,0.319,0.266,0.280,0.254
287248,0.262,0.304,0.323,0.332
289555,0.313,0.325,0.354,0.357
290136,0.435,0.380,0.283,0.345
295146,0.344,0.331,0.326,0.349
297655,0.485,0.363,0.337,0.361
298455,0.342,0.299,0.370,0.336
299154,0.294,0.243,0.251,0.266
299760,0.349,0.264,0.272,0.253
300618,0.271,0.263,0.288,0.247
300719,0.366,0.406,0.306,0.383
303119,0.369,0.341,0.263,0.288
303624,0.293,0.358,0.353,0.340
304727,0.272,0.339,0.289,0.307
305830,0.370,0.344,0.403,0.434
308129,0.220,0.278,0.227,0.205
308331,0.256,0.285,0.225,0.304
309636,0.258,0.276,0.304,0.294
310621,0.256,0.312,0.273,0.268
311320,0.466,0.389,0.352,0.356
314225,0.203,0.311,0.223,0.200
316633,0.269,0.312,0.353,0.324
316835,0.305,0.269,0.228,0.224
318637,0.306,0.280,0.230,0.270
320826,0.336,0.378,0.315,0.336
321323,0.286,0.249,0.276,0.292
322224,0.354,0.397,0.460,0.434
325129,0.296,0.249,0.232,0.294
329844,0.277,0.311,0.263,0.327
330324,0.215,0.277,0.340,0.263
333330,0.280,0.344,0.311,0.298
334635,0.286,0.343,0.281,0.283
336841,0.278,0.371,0.279,0.243
339847,0.328,0.422,0.313,0.292
341834,0.384,0.297,0.285,0.270
342129,0.280,0.317,0.231,0.321
346137,0.362,0.373,0.357,0.444
346945,0.273,0.317,0.333,0.352
348545,0.400,0.375,0.334,0.351
349244,0.339,0.308,0.325,0.332
350330,0.301,0.296,0.328,0.281
352132,0.274,0.233,0.246,0.354
352738,0.288,0.294,0.224,0.282
353740,0.240,0.278,0.250,0.264
356948,0.474,0.334,0.376,0.428
358144,0.274,0.253,0.282,0.283
360030,0.381,0.385,0.315,0.320
361234,0.342,0.300,0.343,0.319
361941,0.272,0.294,0.302,0.305
365343,0.353,0.339,0.298,0.327
366042,0.348,0.358,0.345,0.353
368551,0.342,0.227,0.262,0.262
368753,0.362,0.389,0.361,0.367
376247,0.241,0.220,0.222,0.245
377451,0.302,0.243,0.282,0.368
378756,0.299,0.279,0.243,0.272
378857,0.288,0.320,0.273,0.269
379657,0.273,0.340,0.336,0.347
380036,0.328,0.277,0.258,0.248
381038,0.480,0.474,0.485,0.458
381543,0.292,0.247,0.334,0.291
382242,0.426,0.387,0.370,0.409
385046,0.294,0.407,0.422,0.292
385450,0.304,0.373,0.311,0.291
386250,0.256,0.264,0.272,0.260
387959,0.289,0.314,0.320,0.489
389357,0.310,0.292,0.271,0.302
391748,0.330,0.273,0.314,0.274
392447,0.267,0.284,0.319,0.350
392750,0.324,0.237,0.287,0.272
393247,0.232,0.241,0.270,0.223
393550,0.329,0.344,0.232,0.282
394956,0.293,0.285,0.301,0.286
395251,0.302,0.249,0.295,0.255
395756,0.289,0.358,0.318,0.348
395958,0.265,0.360,0.228,0.308
397154,0.266,0.312,0.269,0.280
397861,0.373,0.443,0.369,0.355
401422,0.313,0.461,0.413,0.379
406432,0.281,0.295,0.254,0.339
406836,0.341,0.337,0.258,0.327
412528,0.272,0.346,0.274,0.324
413934,0.299,0.362,0.352,0.306
415837,0.291,0.292,0.246,0.247
419239,0.430,0.436,0.386,0.425
421226,0.352,0.377,0.270,0.384
422632,0.323,0.345,0.296,0.305
424939,0.318,0.379,0.283,0.285
432332,0.331,0.331,0.275,0.290
433839,0.334,0.286,0.332,0.410
436239,0.369,0.331,0.294,0.337
436845,0.335,0.271,0.312,0.386
441939,0.260,0.283,0.352,0.367
445543,0.276,0.301,0.292,0.329
449753,0.304,0.307,0.268,0.299
453441,0.378,0.558,0.348,0.436
453542,0.458,0.470,0.303,0.416
454140,0.370,0.390,0.329,0.312
456346,0.434,0.312,0.315,0.340
459453,0.308,0.263,0.259,0.252
461743,0.282,0.268,0.248,0.299
463040,0.271,0.342,0.304,0.311
465852,0.460,0.482,0.284,0.327
467351,0.491,0.311,0.330,0.361
468050,0.341,0.306,0.381,0.391
469961,0.234,0.279,0.315,0.301
475855,0.319,0.341,0.291,0.307
479762,0.276,0.244,0.298,0.234
480141,0.298,0.295,0.363,0.286
481042,0.361,0.345,0.308,0.298
481951,0.300,0.246,0.263,0.239
486759,0.237,0.331,0.264,0.304
495255,0.242,0.324,0.362,0.254
497865,0.268,0.284,0.243,0.274
500222,0.252,0.275,0.269,0.262
506234,0.326,0.270,0.296,0.280
510225,0.332,0.300,0.263,0.259
510326,0.299,0.332,0.290,0.344
512835,0.339,0.452,0.343,0.318
513130,0.348,0.444,0.278,0.318
513736,0.299,0.283,0.330,0.354
516742,0.289,0.279,0.288,0.278
517239,0.243,0.234,0.209,0.206
518746,0.272,0.266,0.304,0.281
519647,0.366,0.299,0.314,0.311
519950,0.379,0.303,0.333,0.349
520228,0.231,0.288,0.301,0.236
522434,0.282,0.277,0.256,0.314
523032,0.356,0.282,0.272,0.287
524135,0.286,0.287,0.251,0.266
525541,0.296,0.306,0.267,0.279
529549,0.257,0.278,0.238,0.239
529953,0.240,0.324,0.246,0.278
531536,0.319,0.348,0.252,0.263
531940,0.241,0.256,0.312,0.245
536647,0.249,0.291,0.273,0.282
540436,0.336,0.267,0.264,0.235
541640,0.258,0.308,0.322,0.291
545345,0.279,0.276,0.307,0.274
547046,0.233,0.289,0.273,0.229
548250,0.358,0.316,0.373,0.324
552241,0.228,0.316,0.325,0.287
553344,0.343,0.321,0.284,0.315
