,scan_0,scan_1,scan_2,scan_3
675,0,12,2,5
676,1,0,13,6
677,0,5,8,0
678,0,0,0,0
679,5,7,2,14
680,0,0,14,0
681,18,16,2,0
682,13,3,5,21
683,0,0,0,0
684,8,8,0,0
685,5,12,0,2
686,9,8,11,12
687,4,0,10,0
688,16,16,7,4
689,4,0,0,0
690,16,16,18,10
691,34,10,26,23
692,2,0,0,0
693,0,1,3,0
694,0,0,0,0
695,23,8,6,11
696,24,7,4,6
697,17,11,21,8
698,11,10,7,13
699,0,0,4,4
700,0,0,0,0
701,13,4,12,2
702,0,0,0,14
703,11,4,7,15
704,6,6,4,15
705,10,12,28,2
706,28,18,20,17
707,13,0,3,3
708,8,0,4,0
709,2,18,4,12
710,0,17,7,0
711,18,12,9,6
712,11,29,8,17
713,21,18,8,10
714,25,3,15,31
715,2,15,4,3
716,0,23,15,14
717,16,21,21,17
718,2,11,17,26
719,0,0,2,4
720,17,0,13,15
721,14,10,8,4
722,15,20,1,7
723,4,4,2,26
724,18,16,14,13
725,11,1,0,12
726,0,0,0,0
727,30,15,14,17
728,7,21,12,8
729,0,0,4,0
730,8,11,7,10
731,5,11,14,24
732,17,3,3,8
733,18,4,0,0
734,23,10,0,1
735,6,11,7,24
736,7,1,4,20
737,31,6,16,15
738,18,23,18,20
739,9,6,18,12
740,2,6,18,0
741,31,21,0,0
742,23,21,20,11
743,0,0,0,0
744,0,0,11,2
745,16,15,4,15
746,24,19,16,4
747,21,6,0,18
748,15,29,15,16
749,9,0,22,15
750,0,43,13,18
751,0,0,4,0
752,18,22,6,7
753,16,0,18,11
754,2,0,5,4
755,2,10,0,8
756,17,12,16,9
757,0,2,0,0
758,0,0,10,22
759,2,2,0,0
760,7,6,0,2
761,0,0,4,0
762,0,0,0,2
763,11,6,12,8
764,8,8,2,15
765,19,17,10,17
766,18,2,0,0
767,21,13,3,25
768,14,9,2,11
769,3,2,7,18
770,5,6,0,0
771,13,4,14,3
772,12,11,23,22
773,12,6,11,11
774,6,13,11,5
775,0,0,0,0
776,11,13,13,0
777,0,13,6,28
778,0,0,0,0
779,12,8,7,10
780,15,23,16,21
781,15,14,13,21
782,5,5,0,12
783,17,5,12,13
784,6,9,14,12
785,1,2,1,12
786,10,10,14,7
787,13,7,8,5
788,21,16,16,12
789,12,17,22,9
790,15,0,0,2
791,2,14,25,0
792,28,23,31,0
793,9,16,14,0
794,6,18,11,12
795,14,12,13,2
796,15,20,17,9
797,13,11,8,17
798,8,35,20,15
799,16,7,2,0
800,21,15,16,23
801,8,11,1,14
802,24,4,12,24
803,0,0,0,0
804,10,6,23,8
805,0,17,19,7
806,13,10,6,23
807,6,8,20,18
808,26,5,15,6
809,0,0,0,0
810,9,9,10,6
811,0,0,0,0
