,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
160,0.903,0.822,0.879,1.015,0.946,0.817,0.817,0.849,1.167,0.892,1.085
161,0.847,0.892,0.896,0.956,1.096,0.817,0.817,0.895,0.930,0.898,1.085
162,0.869,0.928,0.817,0.794,0.838,0.817,0.817,0.931,0.953,0.970,1.085
163,0.829,1.085,0.877,0.752,0.958,0.817,0.817,0.927,0.907,0.844,1.085
164,0.925,0.867,0.866,0.940,0.851,0.817,0.817,0.939,1.081,0.929,1.085
165,0.932,0.990,0.967,0.854,0.922,0.817,0.817,0.892,0.911,1.041,1.085
166,0.901,0.882,0.909,1.044,1.252,0.817,0.817,0.879,0.893,0.962,1.085
167,0.923,0.930,0.860,0.999,0.929,0.817,0.817,0.841,1.014,0.840,1.085
168,0.990,0.892,0.921,0.916,0.984,0.817,0.817,0.795,0.930,0.923,1.085
169,0.895,0.939,0.883,1.069,1.415,0.817,0.817,0.964,0.946,0.968,1.085
170,0.843,0.923,0.938,0.925,0.970,0.817,0.817,0.849,0.888,0.907,1.085
171,0.889,0.918,0.846,0.939,1.112,0.817,0.817,0.982,0.986,0.974,1.085
172,0.868,0.959,0.958,0.911,0.974,0.817,0.817,0.853,1.026,0.934,1.085
173,0.897,0.893,0.919,0.952,1.257,0.817,0.817,1.085,0.885,0.943,1.085
174,1.016,0.907,0.790,0.926,0.805,0.817,0.817,0.764,0.849,0.861,1.085
175,0.886,0.884,1.149,0.773,1.005,0.817,0.817,0.895,0.908,0.893,1.085
176,0.861,0.806,0.954,0.984,0.979,0.817,0.817,0.937,0.929,1.007,1.085
177,0.941,0.919,0.890,0.871,1.152,0.817,0.817,0.884,0.943,0.874,1.085
178,0.911,0.913,0.919,0.920,0.950,0.817,0.817,0.927,0.891,0.883,1.085
179,0.935,1.028,0.945,0.901,1.151,0.817,0.817,0.880,0.907,0.879,1.085
180,0.876,0.977,0.889,0.938,1.000,0.817,0.817,0.905,0.912,0.896,1.085
181,0.941,0.962,0.983,0.987,1.012,0.817,0.817,1.085,0.910,0.871,1.085
182,0.884,0.882,0.878,0.809,1.116,0.817,0.817,0.853,0.918,0.902,1.085
183,0.849,1.315,0.823,1.136,1.426,0.817,0.817,0.847,0.938,0.907,1.085
184,0.891,0.918,0.877,0.913,1.133,0.817,0.817,0.958,0.959,0.999,1.085
185,0.983,0.971,0.928,0.867,0.885,0.817,0.817,0.863,0.976,0.962,1.085
186,0.898,0.903,0.883,0.949,0.863,0.817,0.817,0.811,0.761,0.879,1.085
187,0.878,0.926,0.882,1.056,1.141,0.817,0.817,0.902,0.929,0.970,1.085
188,0.782,0.883,0.903,0.864,0.890,0.817,0.817,0.867,0.892,0.899,1.085
189,0.866,0.913,0.940,0.873,0.999,0.817,0.817,0.887,0.921,0.865,1.085
190,1.015,0.886,0.886,0.806,1.016,0.817,0.817,0.851,0.895,0.866,1.085
191,0.957,0.891,0.795,1.061,0.870,0.817,0.817,0.872,0.960,0.917,1.085
192,0.921,0.822,0.999,0.962,0.882,0.817,0.817,1.054,0.933,0.993,1.085
193,0.885,0.847,0.949,0.874,1.008,0.817,0.817,0.904,0.858,0.911,1.085
194,0.863,0.866,0.862,0.966,0.892,0.817,0.817,0.965,0.950,0.857,1.085
195,0.891,0.804,0.907,0.909,0.980,0.817,0.817,0.903,0.869,0.977,1.085
196,0.938,0.856,0.933,0.824,1.122,0.817,0.817,0.880,0.918,0.872,1.085
197,0.911,0.898,0.853,0.815,1.161,0.817,0.817,0.918,0.897,0.936,1.085
198,0.897,0.907,0.941,1.031,1.178,0.817,0.817,0.783,0.982,0.937,1.085
199,0.868,0.881,0.780,0.849,0.817,0.817,0.817,1.021,0.985,1.085,1.085
